Sl. No. ( Col. 1 ),Crime Head ( Col. 2 ),Cases Pending Investigation from Previous Year ( Col. 3 ),Cases Reported during the year ( Col. 4 ),Cases Reopened for Investigation ( Col. 5 ),Total Cases for Investigation (Col.3+Col.4+Col.5) ( Col. 6 ),Cases Not Investigated Under 157_1_b CRPC ( Col. 7 ),Cases Transferred to Other State or Agency ( Col. 8 ),Cases Withdrawn by the Govt during Investigation ( Col. 9 ),Final Report - Cases Ended as FR Non Cognizable ( Col. 10 ),Final Report - Cases Ended as Final Report False ( Col. 11 ),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute ( Col. 12 ),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue ( Col. 13 ),Final Report - Cases Abated during Investigation ( Col. 14 ),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) ( Col. 15 ),Charge Sheets Submitted - Cases ChargeSheeted Out of cases From Prev. Year ( Col. 16 ),Charge Sheets Submitted - Cases Charge sheeted Out of Cases during the year ( Col. 17 ),Charge Sheets Submitted - Cases Charge sheeted (Col.16+Col.17) ( Col. 18 ),Total Cases Disposed Off by Police (Col.7+8+15+18) ( Col. 19 ),Cases Quashed at Investigation Stage ( Col. 20 ),Cases Stayed at Investigation Stage ( Col. 21 ),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) ( Col. 22 ),Chargesheeting Rate (Col.18/19*100) ( Col. 23 ),Pendency Percentage (Col.22/6*100) ( Col. 24 )
1,Tampering computer source documents,169,71,0,240,0,0,0,0,2,1,45,0,48,10,39,49,97,0,1,143,50.5,59.6
2,Computer Related Offences,24842,35329,76,60247,3,47,9,0,280,993,17796,3,19072,2523,4186,6709,25831,9,2,34398,26,57.1
2.1,Computer Related Offences,3421,4154,3,7578,0,0,1,0,22,48,2291,1,2362,457,976,1433,3795,2,0,3780,37.8,49.9
2.1A,Ransom-ware,289,795,1,1085,0,0,1,0,2,8,437,0,447,28,111,139,586,0,0,498,23.7,45.9
2.1B,Offences other than Ransom-ware,3132,3359,2,6493,0,0,0,0,20,40,1854,1,1915,429,865,1294,3209,2,0,3282,40.3,50.5
2.2,Dishonestly receiving stolen computer resource or communication device,570,395,0,965,0,1,0,0,3,5,180,0,188,83,91,174,363,0,0,602,47.9,62.4
2.3,Identity Theft,7015,4978,0,11993,1,6,5,0,84,144,4967,0,5195,453,735,1188,6390,4,0,5594,18.6,46.6
2.4,Cheating by personation by using computer resource,13264,25334,73,38671,2,38,3,0,162,777,10046,2,10987,1471,2205,3676,14703,2,2,23963,25,62
2.5,Violation of Privacy,572,468,0,1040,0,2,0,0,9,19,312,0,340,59,179,238,580,1,0,459,41,44.1
3,Cyber Terrorism,35,11,0,46,0,0,0,0,0,0,12,0,12,1,1,2,14,1,0,31,14.3,67.4
4,Publication/transmission of obscene / sexually explicit act in electronic form,7169,7893,17,15079,1,12,3,3,140,289,3166,0,3598,1178,2912,4090,7701,8,1,7367,53.1,48.9
4.1,Publishing or transmitting obscene material in Electronic Form,2831,3110,6,5947,0,8,3,1,42,122,1489,0,1654,428,999,1427,3089,3,1,2852,46.2,48
4.2,Publishing or transmitting of material containing Sexually explicit act in electronic form,1841,2168,9,4018,0,2,0,1,48,85,646,0,780,348,864,1212,1994,4,0,2020,60.8,50.3
